Death.Month,Age.Group,Sex,Condition,Total.Deaths
1,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
1,<18 years,Female (F),C19+Diabetes,0
1,<18 years,Female (F),C19+Hypertensive.Diseases,0
1,<18 years,Female (F),C19+Hypertensive+MCVD,0
1,<18 years,Female (F),C19+Kidney.Disease,0
1,<18 years,Female (F),C19+MCVD,0
1,<18 years,Female (F),C19+Obesity,0
1,<18 years,Female (F),COVID-19,0
1,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
1,<18 years,Male (M),C19+Diabetes,0
1,<18 years,Male (M),C19+Hypertensive.Diseases,0
1,<18 years,Male (M),C19+Hypertensive+MCVD,0
1,<18 years,Male (M),C19+Kidney.Disease,0
1,<18 years,Male (M),C19+MCVD,0
1,<18 years,Male (M),C19+Obesity,0
1,<18 years,Male (M),COVID-19,0
1,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
1,18-29 years,Female (F),C19+Diabetes,0
1,18-29 years,Female (F),C19+Hypertensive.Diseases,0
1,18-29 years,Female (F),C19+Hypertensive+MCVD,0
1,18-29 years,Female (F),C19+Kidney.Disease,0
1,18-29 years,Female (F),C19+MCVD,0
1,18-29 years,Female (F),C19+Obesity,0
1,18-29 years,Female (F),COVID-19,0
1,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
1,18-29 years,Male (M),C19+Diabetes,0
1,18-29 years,Male (M),C19+Hypertensive.Diseases,0
1,18-29 years,Male (M),C19+Hypertensive+MCVD,0
1,18-29 years,Male (M),C19+Kidney.Disease,0
1,18-29 years,Male (M),C19+MCVD,0
1,18-29 years,Male (M),C19+Obesity,0
1,18-29 years,Male (M),COVID-19,0
1,30-39 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
1,30-39 years,Female (F),C19+Diabetes,0
1,30-39 years,Female (F),C19+Hypertensive.Diseases,0
1,30-39 years,Female (F),C19+Hypertensive+MCVD,0
1,30-39 years,Female (F),C19+Kidney.Disease,0
1,30-39 years,Female (F),C19+MCVD,0
1,30-39 years,Female (F),C19+Obesity,0
1,30-39 years,Female (F),COVID-19,0
1,30-39 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
1,30-39 years,Male (M),C19+Diabetes,0
1,30-39 years,Male (M),C19+Hypertensive.Diseases,0
1,30-39 years,Male (M),C19+Hypertensive+MCVD,0
1,30-39 years,Male (M),C19+Kidney.Disease,0
1,30-39 years,Male (M),C19+MCVD,0
1,30-39 years,Male (M),C19+Obesity,0
1,30-39 years,Male (M),COVID-19,0
1,40-49 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
1,40-49 years,Female (F),C19+Diabetes,0
1,40-49 years,Female (F),C19+Hypertensive.Diseases,0
1,40-49 years,Female (F),C19+Hypertensive+MCVD,0
1,40-49 years,Female (F),C19+Kidney.Disease,0
1,40-49 years,Female (F),C19+MCVD,0
1,40-49 years,Female (F),C19+Obesity,0
1,40-49 years,Female (F),COVID-19,0
1,40-49 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
1,40-49 years,Male (M),C19+Diabetes,0
1,40-49 years,Male (M),C19+Hypertensive.Diseases,0
1,40-49 years,Male (M),C19+Hypertensive+MCVD,0
1,40-49 years,Male (M),C19+Kidney.Disease,0
1,40-49 years,Male (M),C19+MCVD,0
1,40-49 years,Male (M),C19+Obesity,0
1,40-49 years,Male (M),COVID-19,0
1,50-59 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
1,50-59 years,Female (F),C19+Diabetes,0
1,50-59 years,Female (F),C19+Hypertensive.Diseases,0
1,50-59 years,Female (F),C19+Hypertensive+MCVD,0
1,50-59 years,Female (F),C19+Kidney.Disease,0
1,50-59 years,Female (F),C19+MCVD,0
1,50-59 years,Female (F),C19+Obesity,1
1,50-59 years,Female (F),COVID-19,1
1,50-59 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
1,50-59 years,Male (M),C19+Diabetes,0
1,50-59 years,Male (M),C19+Hypertensive.Diseases,0
1,50-59 years,Male (M),C19+Hypertensive+MCVD,0
1,50-59 years,Male (M),C19+Kidney.Disease,0
1,50-59 years,Male (M),C19+MCVD,0
1,50-59 years,Male (M),C19+Obesity,0
1,50-59 years,Male (M),COVID-19,0
1,60-69 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
1,60-69 years,Female (F),C19+Diabetes,0
1,60-69 years,Female (F),C19+Hypertensive.Diseases,0
1,60-69 years,Female (F),C19+Hypertensive+MCVD,0
1,60-69 years,Female (F),C19+Kidney.Disease,0
1,60-69 years,Female (F),C19+MCVD,0
