"Start.Week","End.Week","State","Condition.Group","Condition","ICD10_codes","Age.Group","Number.of.COVID.19.Deaths"
2020-02-01,2020-11-07,"US","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24",160
2020-02-01,2020-11-07,"US","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34",772
2020-02-01,2020-11-07,"US","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44",1981
2020-02-01,2020-11-07,"US","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54",5606
2020-02-01,2020-11-07,"US","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64",13490
2020-02-01,2020-11-07,"US","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74",22222
2020-02-01,2020-11-07,"US","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84",25721
2020-02-01,2020-11-07,"US","Respiratory diseases","Influenza and pneumonia","J09-J18","85+",25824
2020-02-01,2020-11-07,"US","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24",33
2020-02-01,2020-11-07,"US","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","25-34",82
2020-02-01,2020-11-07,"US","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","35-44",184
2020-02-01,2020-11-07,"US","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54",533
2020-02-01,2020-11-07,"US","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64",2038
2020-02-01,2020-11-07,"US","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74",4724
2020-02-01,2020-11-07,"US","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84",6259
2020-02-01,2020-11-07,"US","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+",5632
2020-02-01,2020-11-07,"US","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24",78
2020-02-01,2020-11-07,"US","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34",313
2020-02-01,2020-11-07,"US","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44",819
2020-02-01,2020-11-07,"US","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54",2328
2020-02-01,2020-11-07,"US","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64",5065
2020-02-01,2020-11-07,"US","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74",7515
2020-02-01,2020-11-07,"US","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84",6820
2020-02-01,2020-11-07,"US","Respiratory diseases","Adult respiratory distress syndrome","J80","85+",5150
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory failure","J96","0-24",143
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory failure","J96","25-34",549
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory failure","J96","35-44",1425
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory failure","J96","45-54",4268
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory failure","J96","55-64",10386
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory failure","J96","65-74",18308
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory failure","J96","75-84",21661
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory failure","J96","85+",20869
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory arrest","R09.2","0-24",9
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory arrest","R09.2","25-34",32
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory arrest","R09.2","35-44",83
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory arrest","R09.2","45-54",216
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory arrest","R09.2","55-64",496
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory arrest","R09.2","65-74",927
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory arrest","R09.2","75-84",1189
2020-02-01,2020-11-07,"US","Respiratory diseases","Respiratory arrest","R09.2","85+",1540
2020-02-01,2020-11-07,"US","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","0-24",25
2020-02-01,2020-11-07,"US","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","25-34",73
2020-02-01,2020-11-07,"US","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","35-44",186
2020-02-01,2020-11-07,"US","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","45-54",463
2020-02-01,2020-11-07,"US","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","55-64",1110
