"Start.Week","End.Week","State","Condition.Group","Condition","ICD10_codes","Age.Group","Number.of.COVID.19.Deaths"
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24",0
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34",16
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44",28
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54",61
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64",157
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74",323
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84",355
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","85+",295
2020-02-01,2020-11-07,"AL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24",0
2020-02-01,2020-11-07,"AL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64",38
2020-02-01,2020-11-07,"AL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74",74
2020-02-01,2020-11-07,"AL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84",93
2020-02-01,2020-11-07,"AL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+",60
2020-02-01,2020-11-07,"AL","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54",31
2020-02-01,2020-11-07,"AL","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64",50
2020-02-01,2020-11-07,"AL","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74",90
2020-02-01,2020-11-07,"AL","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84",65
2020-02-01,2020-11-07,"AL","Respiratory diseases","Adult respiratory distress syndrome","J80","85+",18
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory failure","J96","25-34",12
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory failure","J96","35-44",30
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory failure","J96","45-54",115
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory failure","J96","55-64",205
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory failure","J96","65-74",404
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory failure","J96","75-84",438
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory failure","J96","85+",297
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory arrest","R09.2","45-54",19
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory arrest","R09.2","55-64",54
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory arrest","R09.2","65-74",79
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory arrest","R09.2","75-84",57
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory arrest","R09.2","85+",57
2020-02-01,2020-11-07,"AL","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","0-24",0
2020-02-01,2020-11-07,"AL","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","45-54",10
2020-02-01,2020-11-07,"AL","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","55-64",23
2020-02-01,2020-11-07,"AL","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","65-74",36
