"Start.Week","End.Week","State","Condition.Group","Condition","ICD10_codes","Age.Group","Number.of.COVID.19.Deaths"
2020-02-01,2020-11-07,"AL","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",1235
2020-02-01,2020-11-07,"AL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",280
2020-02-01,2020-11-07,"AL","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",269
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory failure","J96","All Ages",1505
2020-02-01,2020-11-07,"AL","Respiratory diseases","Respiratory arrest","R09.2","All Ages",279
2020-02-01,2020-11-07,"AL","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",139
2020-02-01,2020-11-07,"AL","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",441
2020-02-01,2020-11-07,"AL","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",360
2020-02-01,2020-11-07,"AL","Circulatory diseases","Cardiac arrest","I46","All Ages",503
2020-02-01,2020-11-07,"AL","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",247
2020-02-01,2020-11-07,"AL","Circulatory diseases","Heart failure","I50","All Ages",246
2020-02-01,2020-11-07,"AL","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",177
2020-02-01,2020-11-07,"AL","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",239
2020-02-01,2020-11-07,"AL","Sepsis","Sepsis","A40-A41","All Ages",466
2020-02-01,2020-11-07,"AL","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",127
2020-02-01,2020-11-07,"AL","Diabetes","Diabetes","E10-E14","All Ages",429
2020-02-01,2020-11-07,"AL","Obesity","Obesity","E65-E68","All Ages",101
2020-02-01,2020-11-07,"AL","Alzheimer disease","Alzheimer disease","G30","All Ages",140
2020-02-01,2020-11-07,"AL","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",340
2020-02-01,2020-11-07,"AL","Renal failure","Renal failure","N17-N19","All Ages",386
2020-02-01,2020-11-07,"AL","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",112
2020-02-01,2020-11-07,"AL","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",1828
2020-02-01,2020-11-07,"AL","COVID-19","COVID-19","U071","All Ages",3911
2020-02-01,2020-11-07,"AK","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",33
2020-02-01,2020-11-07,"AK","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",10
2020-02-01,2020-11-07,"AK","Respiratory diseases","Respiratory failure","J96","All Ages",27
2020-02-01,2020-11-07,"AK","Sepsis","Sepsis","A40-A41","All Ages",10
2020-02-01,2020-11-07,"AK","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",14
2020-02-01,2020-11-07,"AK","Diabetes","Diabetes","E10-E14","All Ages",10
2020-02-01,2020-11-07,"AK","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",52
2020-02-01,2020-11-07,"AK","COVID-19","COVID-19","U071","All Ages",69
2020-02-01,2020-11-07,"AZ","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",2889
2020-02-01,2020-11-07,"AZ","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",396
2020-02-01,2020-11-07,"AZ","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",847
2020-02-01,2020-11-07,"AZ","Respiratory diseases","Respiratory failure","J96","All Ages",2390
2020-02-01,2020-11-07,"AZ","Respiratory diseases","Respiratory arrest","R09.2","All Ages",123
2020-02-01,2020-11-07,"AZ","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",228
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",749
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",421
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Cardiac arrest","I46","All Ages",570
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",293
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Heart failure","I50","All Ages",290
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",195
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",356
2020-02-01,2020-11-07,"AZ","Sepsis","Sepsis","A40-A41","All Ages",393
2020-02-01,2020-11-07,"AZ","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",193
2020-02-01,2020-11-07,"AZ","Diabetes","Diabetes","E10-E14","All Ages",780
2020-02-01,2020-11-07,"AZ","Obesity","Obesity","E65-E68","All Ages",278
2020-02-01,2020-11-07,"AZ","Alzheimer disease","Alzheimer disease","G30","All Ages",206
2020-02-01,2020-11-07,"AZ","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",377
2020-02-01,2020-11-07,"AZ","Renal failure","Renal failure","N17-N19","All Ages",463
2020-02-01,2020-11-07,"AZ","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",234
2020-02-01,2020-11-07,"AZ","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",2788
2020-02-01,2020-11-07,"AZ","COVID-19","COVID-19","U071","All Ages",5341
2020-02-01,2020-11-07,"AR","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",829
2020-02-01,2020-11-07,"AR","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",175
2020-02-01,2020-11-07,"AR","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",326
2020-02-01,2020-11-07,"AR","Respiratory diseases","Respiratory failure","J96","All Ages",721
2020-02-01,2020-11-07,"AR","Respiratory diseases","Respiratory arrest","R09.2","All Ages",55
2020-02-01,2020-11-07,"AR","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",59
2020-02-01,2020-11-07,"AR","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",366
2020-02-01,2020-11-07,"AR","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",198
2020-02-01,2020-11-07,"AR","Circulatory diseases","Cardiac arrest","I46","All Ages",264
2020-02-01,2020-11-07,"AR","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",127
2020-02-01,2020-11-07,"AR","Circulatory diseases","Heart failure","I50","All Ages",143
2020-02-01,2020-11-07,"AR","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",74
2020-02-01,2020-11-07,"AR","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",82
2020-02-01,2020-11-07,"AR","Sepsis","Sepsis","A40-A41","All Ages",173
2020-02-01,2020-11-07,"AR","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",85
2020-02-01,2020-11-07,"AR","Diabetes","Diabetes","E10-E14","All Ages",277
2020-02-01,2020-11-07,"AR","Obesity","Obesity","E65-E68","All Ages",46
2020-02-01,2020-11-07,"AR","Alzheimer disease","Alzheimer disease","G30","All Ages",112
2020-02-01,2020-11-07,"AR","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",200
2020-02-01,2020-11-07,"AR","Renal failure","Renal failure","N17-N19","All Ages",165
2020-02-01,2020-11-07,"AR","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",62
2020-02-01,2020-11-07,"AR","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",938
2020-02-01,2020-11-07,"AR","COVID-19","COVID-19","U071","All Ages",1909
