"Start.Week","End.Week","State","Condition.Group","Condition","ICD10_codes","Age.Group","Number.of.COVID.19.Deaths"
2020-02-01,2020-11-07,"AL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",280
2020-02-01,2020-11-07,"AL","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",360
2020-02-01,2020-11-07,"AL","Circulatory diseases","Cardiac arrest","I46","All Ages",503
2020-02-01,2020-11-07,"AL","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",247
2020-02-01,2020-11-07,"AL","Circulatory diseases","Heart failure","I50","All Ages",246
2020-02-01,2020-11-07,"AL","Diabetes","Diabetes","E10-E14","All Ages",429
2020-02-01,2020-11-07,"AL","Obesity","Obesity","E65-E68","All Ages",101
2020-02-01,2020-11-07,"AL","Renal failure","Renal failure","N17-N19","All Ages",386
2020-02-01,2020-11-07,"AL","COVID-19","COVID-19","U071","All Ages",3911
2020-02-01,2020-11-07,"AK","Diabetes","Diabetes","E10-E14","All Ages",10
2020-02-01,2020-11-07,"AK","COVID-19","COVID-19","U071","All Ages",69
2020-02-01,2020-11-07,"AZ","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",396
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",421
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Cardiac arrest","I46","All Ages",570
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",293
2020-02-01,2020-11-07,"AZ","Circulatory diseases","Heart failure","I50","All Ages",290
2020-02-01,2020-11-07,"AZ","Diabetes","Diabetes","E10-E14","All Ages",780
2020-02-01,2020-11-07,"AZ","Obesity","Obesity","E65-E68","All Ages",278
2020-02-01,2020-11-07,"AZ","Renal failure","Renal failure","N17-N19","All Ages",463
2020-02-01,2020-11-07,"AZ","COVID-19","COVID-19","U071","All Ages",5341
2020-02-01,2020-11-07,"AR","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",175
2020-02-01,2020-11-07,"AR","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",198
2020-02-01,2020-11-07,"AR","Circulatory diseases","Cardiac arrest","I46","All Ages",264
2020-02-01,2020-11-07,"AR","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",127
2020-02-01,2020-11-07,"AR","Circulatory diseases","Heart failure","I50","All Ages",143
2020-02-01,2020-11-07,"AR","Diabetes","Diabetes","E10-E14","All Ages",277
2020-02-01,2020-11-07,"AR","Obesity","Obesity","E65-E68","All Ages",46
2020-02-01,2020-11-07,"AR","Renal failure","Renal failure","N17-N19","All Ages",165
2020-02-01,2020-11-07,"AR","COVID-19","COVID-19","U071","All Ages",1909
2020-02-01,2020-11-07,"CA","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",1202
2020-02-01,2020-11-07,"CA","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",1906
2020-02-01,2020-11-07,"CA","Circulatory diseases","Cardiac arrest","I46","All Ages",5121
2020-02-01,2020-11-07,"CA","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",1182
2020-02-01,2020-11-07,"CA","Circulatory diseases","Heart failure","I50","All Ages",1125
2020-02-01,2020-11-07,"CA","Diabetes","Diabetes","E10-E14","All Ages",3772
2020-02-01,2020-11-07,"CA","Obesity","Obesity","E65-E68","All Ages",813
2020-02-01,2020-11-07,"CA","Renal failure","Renal failure","N17-N19","All Ages",2183
2020-02-01,2020-11-07,"CA","COVID-19","COVID-19","U071","All Ages",17241
2020-02-01,2020-11-07,"CO","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",267
2020-02-01,2020-11-07,"CO","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",227
2020-02-01,2020-11-07,"CO","Circulatory diseases","Cardiac arrest","I46","All Ages",101
2020-02-01,2020-11-07,"CO","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",209
2020-02-01,2020-11-07,"CO","Circulatory diseases","Heart failure","I50","All Ages",199
2020-02-01,2020-11-07,"CO","Diabetes","Diabetes","E10-E14","All Ages",327
2020-02-01,2020-11-07,"CO","Obesity","Obesity","E65-E68","All Ages",96
2020-02-01,2020-11-07,"CO","Renal failure","Renal failure","N17-N19","All Ages",253
2020-02-01,2020-11-07,"CO","COVID-19","COVID-19","U071","All Ages",2181
2020-02-01,2020-11-07,"CT","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",444
2020-02-01,2020-11-07,"CT","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",377
2020-02-01,2020-11-07,"CT","Circulatory diseases","Cardiac arrest","I46","All Ages",514
2020-02-01,2020-11-07,"CT","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",270
2020-02-01,2020-11-07,"CT","Circulatory diseases","Heart failure","I50","All Ages",395
2020-02-01,2020-11-07,"CT","Diabetes","Diabetes","E10-E14","All Ages",499
2020-02-01,2020-11-07,"CT","Obesity","Obesity","E65-E68","All Ages",87
2020-02-01,2020-11-07,"CT","Renal failure","Renal failure","N17-N19","All Ages",305
2020-02-01,2020-11-07,"CT","COVID-19","COVID-19","U071","All Ages",4520
2020-02-01,2020-11-07,"DE","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",21
2020-02-01,2020-11-07,"DE","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",18
2020-02-01,2020-11-07,"DE","Circulatory diseases","Cardiac arrest","I46","All Ages",18
2020-02-01,2020-11-07,"DE","Circulatory diseases","Heart failure","I50","All Ages",11
2020-02-01,2020-11-07,"DE","Renal failure","Renal failure","N17-N19","All Ages",29
2020-02-01,2020-11-07,"DE","COVID-19","COVID-19","U071","All Ages",609
2020-02-01,2020-11-07,"DC","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",96
2020-02-01,2020-11-07,"DC","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",42
2020-02-01,2020-11-07,"DC","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",26
2020-02-01,2020-11-07,"DC","Circulatory diseases","Heart failure","I50","All Ages",26
2020-02-01,2020-11-07,"DC","Diabetes","Diabetes","E10-E14","All Ages",328
2020-02-01,2020-11-07,"DC","Obesity","Obesity","E65-E68","All Ages",52
2020-02-01,2020-11-07,"DC","Renal failure","Renal failure","N17-N19","All Ages",37
2020-02-01,2020-11-07,"DC","COVID-19","COVID-19","U071","All Ages",795
2020-02-01,2020-11-07,"FL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",2813
2020-02-01,2020-11-07,"FL","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",4151
2020-02-01,2020-11-07,"FL","Circulatory diseases","Cardiac arrest","I46","All Ages",659
2020-02-01,2020-11-07,"FL","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",1319
2020-02-01,2020-11-07,"FL","Circulatory diseases","Heart failure","I50","All Ages",811
2020-02-01,2020-11-07,"FL","Diabetes","Diabetes","E10-E14","All Ages",4792
2020-02-01,2020-11-07,"FL","Obesity","Obesity","E65-E68","All Ages",1292
2020-02-01,2020-11-07,"FL","Renal failure","Renal failure","N17-N19","All Ages",766
2020-02-01,2020-11-07,"FL","COVID-19","COVID-19","U071","All Ages",16539
2020-02-01,2020-11-07,"GA","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",422
2020-02-01,2020-11-07,"GA","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",421
2020-02-01,2020-11-07,"GA","Circulatory diseases","Cardiac arrest","I46","All Ages",1026
2020-02-01,2020-11-07,"GA","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",299
2020-02-01,2020-11-07,"GA","Circulatory diseases","Heart failure","I50","All Ages",405
2020-02-01,2020-11-07,"GA","Diabetes","Diabetes","E10-E14","All Ages",812
2020-02-01,2020-11-07,"GA","Obesity","Obesity","E65-E68","All Ages",226
2020-02-01,2020-11-07,"GA","Renal failure","Renal failure","N17-N19","All Ages",696
2020-02-01,2020-11-07,"GA","COVID-19","COVID-19","U071","All Ages",7053
2020-02-01,2020-11-07,"HI","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",21
2020-02-01,2020-11-07,"HI","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",34
2020-02-01,2020-11-07,"HI","Circulatory diseases","Cardiac arrest","I46","All Ages",34
2020-02-01,2020-11-07,"HI","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",13
2020-02-01,2020-11-07,"HI","Circulatory diseases","Heart failure","I50","All Ages",22
2020-02-01,2020-11-07,"HI","Diabetes","Diabetes","E10-E14","All Ages",39
2020-02-01,2020-11-07,"HI","Renal failure","Renal failure","N17-N19","All Ages",37
2020-02-01,2020-11-07,"HI","COVID-19","COVID-19","U071","All Ages",277
2020-02-01,2020-11-07,"ID","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",96
2020-02-01,2020-11-07,"ID","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",69
2020-02-01,2020-11-07,"ID","Circulatory diseases","Cardiac arrest","I46","All Ages",28
2020-02-01,2020-11-07,"ID","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",53
2020-02-01,2020-11-07,"ID","Circulatory diseases","Heart failure","I50","All Ages",71
2020-02-01,2020-11-07,"ID","Diabetes","Diabetes","E10-E14","All Ages",94
2020-02-01,2020-11-07,"ID","Obesity","Obesity","E65-E68","All Ages",36
2020-02-01,2020-11-07,"ID","Renal failure","Renal failure","N17-N19","All Ages",59
2020-02-01,2020-11-07,"ID","COVID-19","COVID-19","U071","All Ages",668
2020-02-01,2020-11-07,"IL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",1259
2020-02-01,2020-11-07,"IL","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",1209
2020-02-01,2020-11-07,"IL","Circulatory diseases","Cardiac arrest","I46","All Ages",222
2020-02-01,2020-11-07,"IL","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",679
2020-02-01,2020-11-07,"IL","Circulatory diseases","Heart failure","I50","All Ages",837
2020-02-01,2020-11-07,"IL","Diabetes","Diabetes","E10-E14","All Ages",2466
2020-02-01,2020-11-07,"IL","Obesity","Obesity","E65-E68","All Ages",533
2020-02-01,2020-11-07,"IL","Renal failure","Renal failure","N17-N19","All Ages",387
2020-02-01,2020-11-07,"IL","COVID-19","COVID-19","U071","All Ages",8748
2020-02-01,2020-11-07,"IN","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",576
2020-02-01,2020-11-07,"IN","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",521
2020-02-01,2020-11-07,"IN","Circulatory diseases","Cardiac arrest","I46","All Ages",268
