Condition,Age.Group,Total.Deaths
C19_Chronic.Lower.Resp.Disease,<18 years,8
C19_Chronic.Lower.Resp.Disease,18-29 years,52
C19_Chronic.Lower.Resp.Disease,30-39 years,115
C19_Chronic.Lower.Resp.Disease,40-49 years,274
C19_Chronic.Lower.Resp.Disease,50-59 years,907
C19_Chronic.Lower.Resp.Disease,60-69 years,2940
C19_Chronic.Lower.Resp.Disease,70-79 years,4975
C19_Chronic.Lower.Resp.Disease,80+ years,7559
C19_Diabetes,<18 years,4
C19_Diabetes,18-29 years,117
C19_Diabetes,30-39 years,394
C19_Diabetes,40-49 years,1383
C19_Diabetes,50-59 years,3592
C19_Diabetes,60-69 years,7284
C19_Diabetes,70-79 years,9331
C19_Diabetes,80+ years,10574
C19_Hypertensive_MCVD,<18 years,26
C19_Hypertensive_MCVD,18-29 years,277
C19_Hypertensive_MCVD,30-39 years,890
C19_Hypertensive_MCVD,40-49 years,2511
C19_Hypertensive_MCVD,50-59 years,7162
C19_Hypertensive_MCVD,60-69 years,15535
C19_Hypertensive_MCVD,70-79 years,23227
C19_Hypertensive_MCVD,80+ years,42250
C19_Hypertensive.Disease,<18 years,0
C19_Hypertensive.Disease,18-29 years,61
C19_Hypertensive.Disease,30-39 years,282
C19_Hypertensive.Disease,40-49 years,1086
C19_Hypertensive.Disease,50-59 years,3260
C19_Hypertensive.Disease,60-69 years,7403
C19_Hypertensive.Disease,70-79 years,10995
C19_Hypertensive.Disease,80+ years,19866
C19_Kidney.Disease,<18 years,2
C19_Kidney.Disease,18-29 years,72
C19_Kidney.Disease,30-39 years,243
C19_Kidney.Disease,40-49 years,661
C19_Kidney.Disease,50-59 years,1783
C19_Kidney.Disease,60-69 years,3753
C19_Kidney.Disease,70-79 years,4775
C19_Kidney.Disease,80+ years,6157
C19_Major.Cardio.Disease,<18 years,26
C19_Major.Cardio.Disease,18-29 years,277
C19_Major.Cardio.Disease,30-39 years,890
C19_Major.Cardio.Disease,40-49 years,2511
C19_Major.Cardio.Disease,50-59 years,7162
C19_Major.Cardio.Disease,60-69 years,15535
C19_Major.Cardio.Disease,70-79 years,23227
C19_Major.Cardio.Disease,80+ years,42250
C19_Obesity,<18 years,12
C19_Obesity,18-29 years,216
C19_Obesity,30-39 years,560
C19_Obesity,40-49 years,1078
C19_Obesity,50-59 years,1617
C19_Obesity,60-69 years,1989
C19_Obesity,70-79 years,1487
C19_Obesity,80+ years,611
COVID19,<18 years,104
COVID19,18-29 years,912
COVID19,30-39 years,2567
COVID19,40-49 years,6676
COVID19,50-59 years,16847
COVID19,60-69 years,34457
COVID19,70-79 years,49190
COVID19,80+ years,87710
Diabetes.Under.Contrib.Cause,<18 years,83
Diabetes.Under.Contrib.Cause,18-29 years,832
Diabetes.Under.Contrib.Cause,30-39 years,2789
Diabetes.Under.Contrib.Cause,40-49 years,9060
Diabetes.Under.Contrib.Cause,50-59 years,26400
Diabetes.Under.Contrib.Cause,60-69 years,55514
Diabetes.Under.Contrib.Cause,70-79 years,75683
Diabetes.Under.Contrib.Cause,80+ years,96631
Diabetes.Underlying.Cause,<18 years,59
Diabetes.Underlying.Cause,18-29 years,455
Diabetes.Underlying.Cause,30-39 years,1263
Diabetes.Underlying.Cause,40-49 years,3299
Diabetes.Underlying.Cause,50-59 years,8715
Diabetes.Underlying.Cause,60-69 years,16595
Diabetes.Underlying.Cause,70-79 years,20113
Diabetes.Underlying.Cause,80+ years,23237
