Level of Evidence,Condition,Evidence of Impact on COVID-19 Severity
Strongest and Most Consistent Evidence,Cancer,"Systematic Review [6]
Cohort Study [7,8]
Case Series [9]"
Strongest and Most Consistent Evidence,Chronic kidney disease,"Case Series [10, 11, 12]
Cohort Studies [13, 14, 15]"
Strongest and Most Consistent Evidence,COPD,"Meta Analyses [4, 16]
Case Series [17]
Cohort Study [14]"
Strongest and Most Consistent Evidence,"Heart conditions, such as heart failure, coronary artery disease, or cardiomyopathies","Cohort Study [1, 2]
Meta Analyses [3, 4]
Case Series [5]"
Strongest and Most Consistent Evidence,Obesity (BMI> 30 kg/m2),"Cohort Studies [18, 19, 20, 21, 22]
Cross-sectional [23]"
Strongest and Most Consistent Evidence,Severe Obesity (BMI ≥ 40 kg/m2),"Cohort Study [98, 99]
Cross-Sectional Study [95]
Meta Analysis [107]"
Strongest and Most Consistent Evidence,Pregnancy,"Systematic Review [54, 116]
Case Control Study [55]
Case Series [56, 57, 58, 59]
Cohort Study [60, 61, 62, 117]"
Strongest and Most Consistent Evidence,Sickle cell disease,"Case Series [24, 25, 26, 27, 28]"
Strongest and Most Consistent Evidence,Smoking,"Meta Analyses [3, 16*, 63, 64, 65, 66, 101, 102, 104, 105]"
Strongest and Most Consistent Evidence,Solid organ transplantation,"Case Series [12, 29, 30, 31, 32, 33, 34]
Meta Analysis [100]"
Strongest and Most Consistent Evidence,Type 2 diabetes mellitus,"Case Series [11]
Longitudinal Study [35]
Cohort Study [36, 37]
Meta Analysis [38]
Cross-Sectional Study [114]"
Mixed Evidence,Asthma,"Cohort Study [14, 39, 40, 41]
Case Series [17]"
Mixed Evidence,Cerebrovascular disease,"Meta Analysis [42, 43, 44, 45]
Synthesis of Evidence [46]
Cohort Study [1, 2, 47, 48, 49]"
Mixed Evidence,Hypertension,"Cohort Study [1, 2, 49, 50, 51, 91, 93]
Case Series [92]
Systematic Review [52]
Meta Analyses [3, 4, 53, 94]"
Mixed Evidence,Use of corticosteroids or other immunosuppressive medications,"Case Series [67, 68, 69]
Cohort Study [70, 71]"
Limited Evidence,Bone marrow transplantation,Review [72]
Limited Evidence,HIV,"Case Series [73, 74]
Cohort Study [109, 110, 111, 112]"
Limited Evidence,Immune deficiencies,"Case Series [75]
Systematic Review [76]"
Limited Evidence,Inherited metabolic disorders,"Cohort Study [47, 77]"
Limited Evidence,Liver disease,"Meta-Analysis [78]
Cohort  Study [79, 80, 118, 119]
Literature Review [81]
Case Control Study [120]"
Limited Evidence,Neurologic conditions,"Cross-Sectional Study [82]
Cohort Study [41, 49, 77]"
Limited Evidence,Other chronic lung diseases,"Meta-Analysis [4]
Case Series [17]
Cohort Study [14, 83]"
Limited Evidence,"Overweight (BMI > 25 kg/m2, but < 30 kg/m2)","Cohort Study [96, 106]
Case Series [97]
Meta Analysis [115]"
Limited Evidence,Pediatrics,"Systematic Review [84, 85]
Cross-Sectional Study [82, 86, 107]
Cohort Study [77, 87, 88, 103, 108, 113,121, 122, 125]
Case Series [123, 124]"
Limited Evidence,Thalassemia,"Case Series [89]
Cross-Sectional Study [90]"
Limited Evidence,Type 1 diabetes mellitus,"Case Series [11]
Cohort Study [36, 37]
Meta-Analysis [38]
Cross-Sectional Study [114]"
